% 1. Title:
%      Board Game Weight Classification
% 
% 2. Sources:
%      (a) Board Game Geek (https://www.boardgamegeek.com/xmlapi)
%      (b) Data extracted 02/01/2016
% 
% 3. Past Usage:
%      - none known
% 
% 4. Relevant Information:
%      - BGG is a living database of all known published boardgames.
%      - This data set is just a small fraction of the total.
% 
% 5. Number of Instances:
%      4500
% 
% 6. Number of attributes (14 total):
%      1 (numeric) identifier
%      3 (numeric) game parameters
%      9 (boolean) subdomain classifications
%      1 (nominal) classification of weight
% 
% 7. Attribute Information:
%      1.  game identifier
%      2.  minimum players
%      3.  maximum players
%      4.  typical duration (in minutes)
%      5.  subdomain: abstract game
%      6.  subdomain: childrens game
%      7.  subdomain: customizable game
%      8.  subdomain: family game
%      9.  subdomain: party game
%      10. subdomain: strategy game
%      11. subdomain: thematic game
%      12. subdomain: wargame
%      13. (no subdomain)
%      14. class:
%          - LIGHT
%          - MEDIUM_LIGHT
%          - MEDIUM
%          - MEDIUM_HEAVY
%          - HEAVY
% 
% 8. Missing Attribute Values:
%      (none)
% 
% 9. Class Distribution:
%      LIGHT        :  1687  (37.489%)
%      MEDIUM_LIGHT :  1782  (39.600%)
%      MEDIUM       :   860  (19.111%)
%      MEDIUM_HEAVY :   154  ( 3.422%)
%      HEAVY        :    17  ( 0.378%)
% 

@RELATION boardgames

@ATTRIBUTE id NUMERIC
@ATTRIBUTE minp NUMERIC
@ATTRIBUTE maxp NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE abstract {Y,N}
@ATTRIBUTE childrens {Y,N}
@ATTRIBUTE customizable {Y,N}
@ATTRIBUTE family {Y,N}
@ATTRIBUTE party {Y,N}
@ATTRIBUTE strategy {Y,N}
@ATTRIBUTE thematic {Y,N}
@ATTRIBUTE wargames {Y,N}
@ATTRIBUTE no-subdomain {Y,N}
@ATTRIBUTE weight {LIGHT,MEDIUM_LIGHT,MEDIUM,MEDIUM_HEAVY,HEAVY}

@DATA
125,3,5,30,N,N,N,Y,N,N,N,N,N,MEDIUM_LIGHT
126,2,6,90,N,N,N,N,Y,N,N,N,N,MEDIUM_LIGHT
127,1,6,120,N,N,N,N,N,N,Y,N,N,MEDIUM_LIGHT
128,1,8,20,Y,N,N,Y,N,N,N,N,N,MEDIUM_LIGHT
130,2,6,240,N,N,N,N,N,Y,N,N,N,MEDIUM
132,2,2,60,N,N,N,N,N,Y,N,N,N,MEDIUM_LIGHT
133,2,6,120,N,N,N,N,N,Y,N,N,N,MEDIUM
134,3,5,45,N,N,N,Y,N,N,N,N,N,MEDIUM_LIGHT
135,2,4,60,N,N,N,N,N,Y,N,N,N,MEDIUM_LIGHT
136,3,6,30,N,N,N,N,N,N,N,N,Y,MEDIUM_LIGHT
137,2,10,20,N,N,N,N,Y,N,N,N,N,LIGHT
139,3,12,45,N,N,N,N,Y,Y,N,N,N,LIGHT
140,3,8,90,N,N,N,Y,Y,N,N,N,N,LIGHT
141,3,5,60,N,N,N,Y,N,Y,N,N,N,MEDIUM_LIGHT
142,3,5,90,N,N,N,N,N,Y,N,N,N,MEDIUM
143,2,4,30,N,N,N,N,N,N,N,N,Y,LIGHT
144,3,6,90,N,N,N,N,N,N,N,N,Y,MEDIUM_LIGHT
145,2,5,90,N,N,N,N,N,N,N,N,Y,MEDIUM_LIGHT
146,2,4,45,N,N,N,Y,N,Y,N,N,N,MEDIUM_LIGHT
147,2,4,90,N,N,N,N,N,Y,N,N,N,MEDIUM
148,3,6,60,N,N,N,N,N,N,N,N,Y,MEDIUM_LIGHT
150,2,8,30,N,N,N,Y,Y,N,N,N,N,LIGHT
151,2,4,15,N,N,N,N,N,N,N,N,Y,LIGHT
152,2,8,60,N,N,N,N,N,Y,N,N,N,MEDIUM_LIGHT
153,2,6,60,N,N,N,Y,N,N,N,N,N,MEDIUM_LIGHT
154,2,2,360,N,N,N,N,N,Y,N,N,N,MEDIUM_HEAVY
155,3,4,60,N,N,N,Y,N,Y,N,N,N,MEDIUM_LIGHT
156,2,6,60,N,N,N,Y,N,N,N,N,N,MEDIUM_LIGHT
157,2,6,240,N,N,N,N,N,Y,N,N,N,MEDIUM
158,2,6,120,N,N,N,N,N,Y,N,N,N,MEDIUM
162,2,2,90,N,N,N,N,N,N,Y,N,N,MEDIUM_LIGHT
163,2,6,60,N,N,N,N,Y,N,N,N,N,LIGHT
164,3,6,30,N,N,N,Y,N,N,Y,N,N,LIGHT
165,1,2,20,Y,N,N,N,N,N,N,N,N,MEDIUM_LIGHT
166,2,6,120,N,N,N,N,N,N,N,N,Y,MEDIUM_LIGHT
167,2,6,120,N,N,N,N,N,N,N,N,Y,MEDIUM_HEAVY
168,2,6,180,N,N,N,N,N,Y,N,N,N,MEDIUM
169,2,2,30,N,N,N,Y,N,N,N,N,N,LIGHT
170,2,6,30,N,N,N,Y,N,N,Y,N,N,LIGHT
171,2,2,60,Y,N,N,N,N,N,N,N,N,MEDIUM_HEAVY
172,3,6,20,N,N,N,Y,N,N,N,N,N,LIGHT
173,2,10,120,N,N,N,N,N,N,Y,N,N,MEDIUM_LIGHT
174,3,5,45,N,N,N,N,N,N,N,N,Y,MEDIUM_LIGHT
175,2,5,20,N,N,N,Y,N,N,N,N,N,LIGHT
176,3,8,30,N,N,N,Y,N,N,Y,N,N,LIGHT
177,2,8,480,N,N,N,N,N,Y,N,N,N,MEDIUM_HEAVY
178,2,2,15,Y,N,N,N,N,N,N,N,N,MEDIUM_LIGHT
179,2,2,10,Y,N,N,N,N,N,N,N,N,MEDIUM_LIGHT
180,2,5,30,Y,N,N,N,N,N,N,N,N,MEDIUM_LIGHT
181,2,6,120,N,N,N,Y,N,N,N,Y,N,MEDIUM_LIGHT
182,2,4,30,N,N,N,Y,N,Y,N,N,N,LIGHT
183,2,2,15,Y,N,N,N,N,N,N,N,N,MEDIUM_LIGHT
185,2,5,30,N,N,N,Y,N,N,N,N,N,LIGHT
186,2,6,30,N,N,N,N,N,N,N,N,Y,LIGHT
188,2,2,90,Y,N,N,N,N,N,N,N,N,MEDIUM_HEAVY
189,3,4,90,N,N,N,Y,N,Y,N,N,N,MEDIUM
190,3,5,30,N,N,N,Y,N,N,N,N,N,MEDIUM_LIGHT
192,3,6,45,N,N,N,Y,N,N,N,N,N,LIGHT
193,2,10,30,N,N,N,Y,N,N,N,N,N,LIGHT
194,2,4,45,N,N,N,N,N,N,Y,N,N,MEDIUM_LIGHT
195,2,5,30,N,N,N,N,N,N,N,N,Y,LIGHT
196,3,6,75,N,N,N,N,N,Y,Y,N,N,MEDIUM
197,3,4,75,N,N,N,N,N,N,N,N,Y,MEDIUM_LIGHT
198,2,4,30,N,N,N,Y,N,N,N,N,N,MEDIUM_LIGHT
199,2,4,45,N,N,N,Y,N,N,N,N,N,MEDIUM_LIGHT
